loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_kepmag
76,7700871,K00088.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,5.17968868,1.1520000e-05,-1.15E-05,136.46144,2.020000e-03,-2.02E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.871
77,8056665,K00089.01,Kepler-462 b,CONFIRMED,CANDIDATE,,0,0,0,0,84.6877524,1.7780000e-04,-1.78E-04,150.57084,1.720000e-03,-1.72E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,11.642
78,8056665,K00089.02,Kepler-462 c,CONFIRMED,CANDIDATE,,0,0,0,0,207.5829306,5.7370000e-04,-5.74E-04,289.88311,2.040000e-03,-2.04E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,11.642
79,9210823,K00090.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,1,0.828206212,8.8000000e-07,-8.80E-07,135.722038,8.330000e-04,-8.33E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.743
80,7941200,K00092.01,Kepler-1709 b,CONFIRMED,CANDIDATE,,0,0,0,0,65.7045275,1.0610000e-04,-1.06E-04,137.44275,1.400000e-03,-1.40E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.667
81,6462863,K00094.01,Kepler-89 d,CONFIRMED,CANDIDATE,,0,0,0,0,22.34296483,3.4040000e-06,-3.40E-06,132.741641,1.280000e-04,-1.28E-04,,,,,,,,,,,,,,4,,,q1_q17_dr25_tce,12.205
82,6462863,K00094.02,Kepler-89 c,CONFIRMED,CANDIDATE,,0,0,0,0,10.42367744,7.1730000e-06,-7.17E-06,138.009041,5.840000e-04,-5.84E-04,,,,,,,,,,,,,,4,,,q1_q17_dr25_tce,12.205
83,6462863,K00094.03,Kepler-89 e,CONFIRMED,CANDIDATE,,0,0,0,0,54.31996151,3.3910000e-05,-3.39E-05,161.239869,5.030000e-04,-5.03E-04,,,,,,,,,,,,,,4,,,q1_q17_dr25_tce,12.205
84,6462863,K00094.04,Kepler-89 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.743166733,5.6140000e-06,-5.61E-06,131.61967,1.420000e-03,-1.42E-03,,,,,,,,,,,,,,4,,,q1_q17_dr25_tce,12.205
85,5780885,K00097.01,Kepler-7 b,CONFIRMED,CANDIDATE,,0,1,0,0,4.885488596,2.6600000e-07,-2.66E-07,134.2768785,4.530000e-05,-4.53E-05,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,12.885
86,10264660,K00098.01,Kepler-14 b,CONFIRMED,CANDIDATE,,0,0,0,0,6.790120801,1.9050000e-06,-1.91E-06,138.088199,2.310000e-04,-2.31E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,12.128
87,8505215,K00099.01,,CANDIDATE,CANDIDATE,,0,0,0,0,2190.701035,,,140.04806,1.860000e-03,-1.86E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,12.96
88,8505215,K00099.02,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,79.87804945,,,184.7704412,,,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,12.96
89,4055765,K00100.01,,CANDIDATE,CANDIDATE,,0,0,0,0,9.9664004,1.2200000e-05,-1.22E-05,141.15324,1.010000e-03,-1.01E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,12.598
90,8456679,K00102.01,Kepler-1990 b,CONFIRMED,CANDIDATE,,0,0,0,0,1.73513619,2.8200000e-07,-2.82E-07,135.060047,1.360000e-04,-1.36E-04,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,12.566
91,8456679,K00102.02,Kepler-1990 c,CONFIRMED,CANDIDATE,,0,0,0,0,4.06844957,1.2120000e-05,-1.21E-05,132.27614,2.550000e-03,-2.55E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,12.566
92,2444412,K00103.01,Kepler-1710 b,CONFIRMED,CANDIDATE,,0,0,0,0,14.91095177,1.2750000e-05,-1.28E-05,141.336726,7.110000e-04,-7.11E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,12.593
93,10318874,K00104.01,Kepler-94 b,CONFIRMED,CANDIDATE,,0,0,0,0,2.508057497,3.7800000e-07,-3.78E-07,135.000657,1.240000e-04,-1.24E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,12.895
94,8711794,K00105.01,Kepler-463 b,CONFIRMED,CANDIDATE,,0,0,0,0,8.981014925,3.0850000e-06,-3.09E-06,136.649307,2.790000e-04,-2.79E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,12.87
95,10489525,K00106.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,1.612249049,4.3540000e-06,-4.35E-06,131.85204,2.310000e-03,-2.31E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,12.775
96,11250587,K00107.01,Kepler-464 b,CONFIRMED,CANDIDATE,,0,0,0,0,7.256962446,5.8390000e-06,-5.84E-06,134.023923,6.610000e-04,-6.61E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,12.702
97,4914423,K00108.01,Kepler-103 b,CONFIRMED,CANDIDATE,,0,0,0,0,15.96532718,1.3680000e-05,-1.37E-05,142.178033,6.880000e-04,-6.88E-04,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,12.287
